Produto,,Unidade,18,19,20,21,22,23,Total,Média,Saldo,Projeç.,
213302,FIXADOR TUBO ENDOTRAQUEAL 5-10MM-9800,UNIDADE,1,0,1,0,1,0,3,"0,5",84,,168
213762,DESVENLAFAXINA 50 MG COMP REV LIB PROL-ACHE,COMP C/50MG,1,1,1,2,-1,0,4,"0,667",531,,"796,46"
214674,HAC-PASTA PRONTUARIO PERSONALIZADO PAPEL KRAFT,UNIDADE,0,0,0,0,0,426,426,71,7374,,"103,859"
214992,BRYONY 100 MG/ML-2ML FR/AMP EV(SUGAMADEX),FA C/200MG,1,21,-3,17,0,19,55,"9,167",191,,"20,836"
214999,CEFTRIAXONA 1.000 MG FR/AMP IM-BLAU,FA C/1000MG,7,6,2,0,0,0,15,"2,5",15,,6
215710,CATETER INTRAVENOSO PERIF C/ DISP SEG INSYTE 20G-38183414,UNIDADE,14,35,9,20,2,33,113,"18,833",2007,,"106,567"
216026,ESPACADOR GOODDOCTOR AD/INF-GD000009,UNIDADE,1,1,2,8,3,2,17,"2,833",55,,"19,412"
216306,"COMPRESSA CIRURGICA GAZE ESTERIL 7,5X7,5CM-02512",UNIDADE,130,81,83,179,136,73,682,"113,667",8932,,"78,581"
216663,"NEVRIX IM 50/50/2,5 MG/ML-2ML AMP IM(TIAMI/PIRIDOX/CIANO)",AMPOLA,0,0,1,1,1,0,3,"0,5",16,,32
217083,AVENTAL DESC POLIPROPILENO MANGA LONGA 25G 120X140CM-PA0779,UNIDADE,0,0,1000,0,1000,0,2000,"333,333",52790,,"158,37"
